Drowzee, Arcanine, Golduck, Slowpoke, Dratini, Graveler, Dragonite, Jynx, Spearow, Weezing, Raticate, Fearow,0.002686977,2,607.3028088,74.10505871,,,,,,
Omanyte, Tentacruel, Slowbro, Charizard, Gyarados, Abra, Slowbro, Jolteon, Mr. Mime, Dewgong, Squirtle, Sandshrew,6.287656069,1,757.7180106,87.23254386,,,,,,
Meowth, Aerodactyl, Clefable, Goldeen, Machoke, Meowth, Vileplume, Doduo, Krabby, Mr. Mime, Vulpix, Parasect,0.003353119,1,592.5125088,70.55425224,,,,,,
Shellder, Bellsprout, Jynx, Nidorina, Charmeleon, Exeggcute, Kingler, Golbat, Charmander, Beedrill, Magnemite, Wartortle,3.638915062,1,722.0432094,71.49749807,,,,,,
Drowzee, Kingler, Raichu, Jynx, Kabutops, Moltres, Dragonite, Dragonite, Raichu, Koffing, Nidorina, Vulpix,5.550036669,1,813.4113107,71.31863157,,,,,,
Pinsir, Aerodactyl, Squirtle, Magmar, Hypno, Venomoth, Rhydon, Poliwrath, Sandslash, Haunter, Magneton, Parasect,0.002621889,2,746.4783096,87.5253173,,,,,,
Haunter, Kabuto, Electrode, Nidoking, Grimer, Blastoise, Wigglytuff, Wartortle, Nidoqueen, Clefable, Exeggutor, Alakazam,0.002683163,2,879.3286116,85.08143397,,,,,,
Magmar, Starmie, Clefairy, Wartortle, Tauros, Golbat, Staryu, Gyarados, Electabuzz, Spearow, Venusaur, Venonat,2.558900833,1,761.7508104,86.7495106,,,,,,
Poliwhirl, Golbat, Growlithe, Dratini, Poliwhirl, Doduo, Gloom, Machop, Voltorb, Golduck, Victreebel, Omastar,0.002527952,2,602.850609,69.22703527,,,,,,
Squirtle, Articuno, Charmander, Clefairy, Rhyhorn, Raticate, Kabutops, Shellder, Bellsprout, Aerodactyl, Ekans, Jynx,0.002444983,2,554.5310077,75.11797257,,,,,,
Squirtle, Grimer, Charmeleon, Krabby, Growlithe, Flareon, Rhydon, Pikachu, Gengar, Nidorina, Vulpix, Rattata,2.810956001,1,722.7037098,60.48576606,,,,,,
Psyduck, Golbat, Koffing, Kadabra, Exeggcute, Hitmonchan, Nidoran, Hypno, Cubone, Pikachu, Moltres, Nidoran,0.002382994,2,637.0774086,65.36055751,,,,,,
Nidorina, Charizard, Kadabra, Venusaur, Seaking, Ponyta, Dragonite, Venonat, Parasect, Omastar, Magneton, Raticate,2.398611069,1,828.8792106,78.11864097,,,,,,
Geodude, Ekans, Arbok, Porygon, Machoke, Cubone, Charmeleon, Raichu, Flareon, Zubat, Hitmonchan, Exeggutor,0.002406836,2,528.030308,66.36469285,,,,,,
Arbok, Dugtrio, Butterfree, Arbok, Vaporeon, Abra, Bulbasaur, Chansey, Venusaur, Victreebel, Pinsir, Grimer,0.002535105,1,1117.451414,110.2969388,,,,,,
Slowbro, Dragonair, Sandslash, Bulbasaur, Machoke, Omanyte, Rhyhorn, Fearow, Clefable, Rapidash, Rhydon, Weezing,0.002919912,1,905.5854122,87.9039595,,,,,,
Magmar, Nidorina, Staryu, Graveler, Nidoking, Diglett, Koffing, Tangela, Gloom, Victreebel, Blastoise, Venusaur,0.002565145,2,639.1573089,70.79006229,,,,,,
Dragonite, Squirtle, Kingler, Gastly, Sandslash, Diglett, Vileplume, Gyarados, Charmander, Exeggutor, Staryu, Persian,0.002910137,1,771.2658109,68.98205138,,,,,,
Geodude, Bulbasaur, Magmar, Nidorina, Seel, Electabuzz, Voltorb, Slowbro, Chansey, Moltres, Farfetch'd, Geodude,0.002300978,3,761.4270109,101.5127089,,,,,,
Mankey, Goldeen, Nidorina, Nidoran, Ponyta, Golduck, Electrode, Starmie, Clefairy, Sandslash, Nidorino, Diglett,4.009639025,3,470.3869072,62.20976965,,,,,,
Venonat, Pinsir, Seaking, Seel, Gyarados, Golduck, Gyarados, Hitmonlee, Dewgong, Arbok, Charmander, Nidoqueen,2.285796881,1,832.0390113,94.36169817,,,,,,
Lapras, Dratini, Omanyte, Beedrill, Hypno, Dratini, Psyduck, Diglett, Slowbro, Charizard, Mankey, Ivysaur,4.803523064,1,722.3813097,82.92264569,,,,,,
Persian, Pidgeotto, Lapras, Weezing, Golbat, Seadra, Gyarados, Farfetch'd, Psyduck, Jolteon, Mankey, Grimer,2.827783108,1,697.3471106,79.41866011,,,,,,
Dragonair, Magmar, Fearow, Porygon, Snorlax, Rhydon, Lapras, Lapras, Lapras, Lapras, Sandslash, Snorlax,9.514895916,3,846.0704117,97.30735374,,,,,,
Bellsprout, Psyduck, Vaporeon, Fearow, Staryu, Clefable, Tangela, Horsea, Charizard, Haunter, Golem, Abra,0.00241518,2,589.0132084,71.44098645,,,,,,
Blastoise, Pinsir, Tangela, Golbat, Dratini, Sandslash, Gyarados, Pinsir, Persian, Horsea, Drowzee, Raticate,1.895714998,1,814.9605104,102.2549088,,,,,,
Nidoran, Machop, Nidoking, Vaporeon, Rhyhorn, Clefable, Staryu, Alakazam, Machop, Tangela, Ekans, Wartortle,2.527039051,1,700.5111094,77.42177425,,,,,,
Dragonair, Charmander, Vulpix, Kabutops, Chansey, Dugtrio, Farfetch'd, Graveler, Jigglypuff, Slowbro, Hypno, Nidoran,0.002627134,2,720.6381103,90.04087,,,,,,
Machop, Abra, Poliwrath, Poliwhirl, Growlithe, Kabutops, Staryu, Dragonite, Gloom, Eevee, Nidorino, Meowth,2.143989086,1,744.9134098,69.95952205,,,,,,
Snorlax, Ponyta, Seel, Abra, Zubat, Vaporeon, Staryu, Nidoking, Hitmonchan, Dewgong, Dragonair, Weezing,3.856029987,1,758.6538105,98.97966801,,,,,,
Ponyta, Aerodactyl, Venusaur, Dragonite, Dragonair, Doduo, Arcanine, Dragonite, Hitmonchan, Golbat, Onix, Charmeleon,6.254122972,2,648.0760092,76.26351126,,,,,,
Zubat, Cubone, Muk, Golbat, Krabby, Poliwhirl, Diglett, Flareon, Nidoking, Nidoqueen, Arcanine, Poliwhirl,0.002808094,2,587.1730091,72.65749304,,,,,,
Abra, Weezing, Venusaur, Machop, Graveler, Raichu, Onix, Dewgong, Tentacruel, Victreebel, Dragonite, Staryu,0.002706051,2,625.0746098,80.66579556,,,,,,
Lickitung, Machamp, Hitmonlee, Jigglypuff, Oddish, Tentacool, Victreebel, Slowbro, Arbok, Beedrill, Slowpoke, Dragonair,0.002669096,4,467.9218061,67.8125827,,,,,,
Zubat, Haunter, Seadra, Nidoran, Wartortle, Snorlax, Dragonair, Weezing, Charizard, Weepinbell, Nidoqueen, Pidgeot,0.002881765,2,702.7850095,80.27653658,,,,,,
Parasect, Exeggcute, Cloyster, Hypno, Haunter, Seel, Zapdos, Golem, Drowzee, Tentacool, Ninetales, Eevee,3.161315918,1,815.4755109,106.0086329,,,,,,
Butterfree, Diglett, Kangaskhan, Dratini, Squirtle, Cubone, Pidgeotto, Pikachu, Abra, Aerodactyl, Koffing, Magmar,0.002882957,1,673.6081093,76.28280436,,,,,,
Nidorina, Pidgeotto, Vulpix, Machamp, Zubat, Kabutops, Beedrill, Moltres, Abra, Pikachu, Nidoqueen, Cloyster,0.002485991,2,596.4968086,73.61438364,,,,,,
Meowth, Muk, Dewgong, Tangela, Lickitung, Squirtle, Staryu, Dragonite, Grimer, Parasect, Hitmonchan, Diglett,2.830415964,2,639.9804087,75.39026,,,,,,
Mankey, Pidgey, Omastar, Golbat, Raichu, Ponyta, Staryu, Staryu, Staryu, Staryu, Dragonite, Parasect,2.554494858,1,630.2386086,70.47693938,,,,,,
Dugtrio, Zapdos, Dragonite, Abra, Dragonair, Zubat, Kingler, Nidoqueen, Omastar, Mankey, Ninetales, Magmar,0.00274992,1,773.5725108,80.07282635,,,,,,
Seaking, Persian, Abra, Dragonair, Chansey, Seadra, Staryu, Gyarados, Staryu, Zapdos, Machop, Farfetch'd,3.360661983,1,732.0090103,100.0719903,,,,,,
Tauros, Fearow, Tangela, Paras, Dragonite, Clefairy, Staryu, Kabutops, Hitmonchan, Wartortle, Jynx, Omastar,3.346679926,1,706.1716097,80.54888597,,,,,,
Squirtle, Venusaur, Flareon, Beedrill, Seel, Gyarados, Dragonite, Dewgong, Clefairy, Butterfree, Starmie, Hitmonlee,2.352669239,1,792.0875113,93.09984564,,,,,,
Seadra, Ponyta, Marowak, Lickitung, Exeggutor, Starmie, Staryu, Dragonite, Oddish, Ivysaur, Lickitung, Butterfree,2.438884974,1,816.6538105,81.9342902,,,,,,
Kadabra, Krabby, Growlithe, Diglett, Ninetales, Gastly, Pidgey, Scyther, Haunter, Blastoise, Farfetch'd, Gastly,0.002306938,3,469.9204067,47.04215897,,,,,,
Mankey, Victreebel, Weezing, Aerodactyl, Nidorina, Arcanine, Kadabra, Jolteon, Gengar, Pidgeotto, Haunter, Graveler,0.002794027,1,742.2686096,70.6983466,,,,,,
Venomoth, Golem, Seaking, Jynx, Golbat, Nidoqueen, Staryu, Lapras, Gyarados, Dragonite, Wigglytuff, Onix,10.30193615,1,988.390013,91.87586387,,,,,,
Vileplume, Machop, Drowzee, Nidoran, Muk, Pidgey, Staryu, Moltres, Diglett, Eevee, Horsea, Weezing,2.684029102,1,632.0931088,71.29444516,,,,,,
Drowzee, Onix, Jynx, Charmander, Wigglytuff, Victreebel, Magneton, Lapras, Flareon, Exeggutor, Persian, Slowpoke,0.002650023,3,507.1259085,74.72056059,,,,,,
Squirtle, Drowzee, Arbok, Eevee, Tauros, Arcanine, Articuno, Electrode, Machoke, Eevee, Charmander, Hypno,3.320521832,1,766.491211,91.25296777,,,,,,
Machoke, Weezing, Victreebel, Doduo, Charmeleon, Farfetch'd, Haunter, Kabuto, Oddish, Gyarados, Magnemite, Gyarados,0.002460957,3,497.0502063,62.25487323,,,,,,
Parasect, Butterfree, Golem, Clefairy, Hitmonchan, Mr. Mime, Charizard, Seaking, Dodrio, Fearow, Eevee, Persian,2.792902946,2,683.1245092,63.33957659,,,,,,
Blastoise, Seaking, Parasect, Tangela, Magneton, Meowth, Dragonite, Venomoth, Omanyte, Spearow, Nidorino, Magneton,2.290442944,1,673.34851,77.87376663,,,,,,
Slowbro, Clefable, Tentacruel, Gastly, Nidoking, Charmeleon, Snorlax, Bellsprout, Venomoth, Haunter, Rapidash, Nidoqueen,2.712756872,1,867.6981123,90.15431571,,,,,,
Gloom, Cloyster, Hitmonchan, Horsea, Fearow, Poliwag, Lapras, Lapras, Lapras, Lickitung, Slowbro, Tentacool,11.90549493,4,645.3028088,85.38360249,,,,,,
Bulbasaur, Ponyta, Snorlax, Graveler, Tangela, Venusaur, Gastly, Dodrio, Poliwag, Rhyhorn, Victreebel, Scyther,0.002843857,1,767.3157102,82.93535702,,,,,,
Bulbasaur, Grimer, Dragonair, Zubat, Marowak, Rhydon, Sandshrew, Snorlax, Magnemite, Ivysaur, Staryu, Moltres,0.002677917,1,743.3942111,75.92795676,,,,,,
Magnemite, Nidoqueen, Pidgey, Jynx, Electrode, Squirtle, Staryu, Lapras, Machamp, Eevee, Magnemite, Butterfree,2.737034798,1,770.6210107,73.38918177,,,,,,
Mankey, Tentacool, Doduo, Porygon, Tauros, Pidgeot, Doduo, Dodrio, Charizard, Mankey, Growlithe, Farfetch'd,3.838342905,1,727.9947095,70.06974742,,,,,,
Paras, Oddish, Hypno, Charizard, Magmar, Starmie, Moltres, Muk, Porygon, Persian, Wigglytuff, Horsea,2.477838993,2,810.7808114,76.32957632,,,,,,
Blastoise, Raichu, Rapidash, Snorlax, Hitmonlee, Rattata, Victreebel, Dragonite, Exeggutor, Doduo, Vulpix, Electabuzz,6.185619354,2,656.7051092,73.55060875,,,,,,
Oddish, Kangaskhan, Geodude, Primeape, Venomoth, Moltres, Squirtle, Poliwrath, Jolteon, Exeggutor, Charizard, Kangaskhan,0.002532959,2,699.7522097,71.42578349,,,,,,
Fearow, Dugtrio, Dugtrio, Machop, Wigglytuff, Poliwhirl, Electrode, Nidoqueen, Eevee, Diglett, Tentacruel, Growlithe,0.002585888,1,714.09031,76.05336423,,,,,,
Pinsir, Hitmonlee, Dragonite, Tauros, Vileplume, Magnemite, Staryu, Dragonite, Ivysaur, Dodrio, Dragonite, Dragonair,2.170562983,1,832.3628108,79.02432105,,,,,,
Nidoqueen, Sandslash, Kabuto, Poliwrath, Squirtle, Jigglypuff, Zapdos, Poliwhirl, Hitmonlee, Marowak, Marowak, Alakazam,0.00268507,1,740.1859105,87.63127158,,,,,,
Golbat, Chansey, Hitmonchan, Koffing, Doduo, Parasect, Moltres, Bellsprout, Bellsprout, Farfetch'd, Omastar, Fearow,4.391440153,1,706.4441105,90.00387341,,,,,,
Gengar, Exeggutor, Weepinbell, Moltres, Lapras, Golduck, Dragonite, Gengar, Vaporeon, Charmander, Marowak, Pidgeot,2.381484032,1,919.569712,97.99990341,,,,,,
Victreebel, Meowth, Electrode, Charmeleon, Omanyte, Dragonair, Haunter, Charizard, Magmar, Poliwag, Snorlax, Dugtrio,0.003369808,2,651.88061,71.81934596,,,,,,
Poliwrath, Geodude, Vileplume, Alakazam, Wigglytuff, Clefable, Venusaur, Slowbro, Dragonite, Diglett, Exeggcute, Slowpoke,10.4019835,2,676.7536091,74.35673217,,,,,,
Kabuto, Persian, Electrode, Grimer, Dragonair, Wartortle, Staryu, Staryu, Victreebel, Marowak, Psyduck, Wartortle,4.251865149,1,694.1887093,87.30755356,,,,,,
Wigglytuff, Vaporeon, Golem, Diglett, Growlithe, Gengar, Exeggutor, Hitmonchan, Farfetch'd, Nidoqueen, Raichu, Starmie,0.003835917,1,749.120311,75.07953944,,,,,,
Poliwrath, Pidgey, Electabuzz, Tauros, Persian, Bellsprout, Rhydon, Farfetch'd, Magneton, Seaking, Rapidash, Clefairy,3.876069069,1,865.8778113,83.82339011,,,,,,
Vileplume, Voltorb, Nidoking, Sandslash, Rattata, Haunter, Primeape, Snorlax, Wigglytuff, Ponyta, Jolteon, Slowpoke,0.003721952,2,831.1189116,76.96091991,,,,,,
Machamp, Poliwrath, Nidorina, Graveler, Ivysaur, Cubone, Lapras, Tangela, Poliwhirl, Dragonite, Ivysaur, Gloom,0.006233931,2,782.4926104,80.96584959,,,,,,
Paras, Vaporeon, Bellsprout, Hypno, Sandslash, Jynx, Rhydon, Tangela, Tentacool, Lapras, Staryu, Magneton,0.0051651,1,869.7166112,91.27904632,,,,,,
Muk, Rhyhorn, Golbat, Slowpoke, Ivysaur, Rapidash, Articuno, Dewgong, Rhyhorn, Sandshrew, Cloyster, Pidgeot,3.67477107,1,855.1189116,101.3114364,,,,,,
Beedrill, Raticate, Krabby, Eevee, Kabuto, Dodrio, Arbok, Beedrill, Marowak, Charmander, Psyduck, Golbat,0.002637148,1,663.50971,75.52331276,,,,,,
Omanyte, Koffing, Weepinbell, Graveler, Seaking, Pikachu, Dratini, Wartortle, Vileplume, Zapdos, Krabby, Muk,0.002353907,3,506.5966072,70.41584142,,,,,,
Goldeen, Clefable, Persian, Tentacool, Spearow, Ekans, Charmander, Articuno, Omanyte, Exeggutor, Lapras, Exeggcute,0.002314806,3,455.6936071,70.36128293,,,,,,
Pidgeot, Raichu, Zubat, Alakazam, Tentacruel, Porygon, Cloyster, Tentacruel, Dragonair, Tauros, Venonat, Aerodactyl,3.238636017,1,814.539711,88.17533903,,,,,,
Bulbasaur, Magneton, Lickitung, Rapidash, Tentacool, Raticate, Ponyta, Alakazam, Scyther, Arbok, Sandslash, Goldeen,0.002524853,2,561.3998087,68.16136963,,,,,,
Kadabra, Ivysaur, Poliwhirl, Golduck, Starmie, Moltres, Dragonite, Rapidash, Machop, Porygon, Snorlax, Tangela,2.693842173,1,913.4870129,86.5642546,,,,,,
Beedrill, Gyarados, Farfetch'd, Wartortle, Chansey, Slowpoke, Staryu, Staryu, Jolteon, Seadra, Arbok, Growlithe,2.607326746,1,665.431209,95.19354376,,,,,,
Eevee, Onix, Rattata, Bulbasaur, Slowbro, Rattata, Dugtrio, Dragonair, Hitmonchan, Sandslash, Slowpoke, Ninetales,0.003021002,2,522.1901087,69.12902514,,,,,,
Omastar, Pidgeotto, Gyarados, Horsea, Exeggutor, Articuno, Staryu, Jolteon, Starmie, Sandslash, Machamp, Raticate,2.437345028,1,804.0732104,82.16927087,,,,,,
Seaking, Snorlax, Poliwhirl, Magmar, Poliwag, Onix, Pikachu, Weezing, Ninetales, Tentacruel, Tangela, Cloyster,0.002795935,1,796.7993103,107.3140978,,,,,,
Moltres, Venomoth, Magmar, Gloom, Starmie, Spearow, Venomoth, Kabutops, Poliwag, Snorlax, Venomoth, Kangaskhan,0.002737045,1,879.2616127,92.45077155,,,,,,
Spearow, Butterfree, Wigglytuff, Clefairy, Grimer, Jynx, Pidgeot, Nidoran, Starmie, Alakazam, Scyther, Pidgey,0.002479076,3,530.1458069,64.1161285,,,,,,
Koffing, Alakazam, Jynx, Jynx, Lickitung, Clefable, Lapras, Lapras, Magnemite, Nidoking, Psyduck, Nidoking,10.24895382,1,970.6168126,90.55950628,,,,,,
Nidorino, Sandshrew, Onix, Kabuto, Graveler, Ninetales, Slowbro, Grimer, Tangela, Marowak, Wigglytuff, Jolteon,0.002492189,3,568.5952078,66.45359183,,,,,,
Sandshrew, Tentacool, Exeggutor, Dragonair, Raichu, Magnemite, Snorlax, Poliwhirl, Electrode, Magnemite, Rapidash, Chansey,0.002659082,2,759.7037098,77.53856973,,,,,,
Gyarados, Pidgeotto, Oddish, Vulpix, Golduck, Oddish, Blastoise, Omastar, Sandslash, Charizard, Blastoise, Charmander,0.002698898,2,659.3970099,81.18651306,,,,,,
Koffing, Machop, Marowak, Charmeleon, Rapidash, Tauros, Jolteon, Lickitung, Abra, Arcanine, Seel, Rhydon,0.002661943,1,779.5868116,86.19158398,,,,,,
Horsea, Staryu, Scyther, Nidoqueen, Cubone, Wigglytuff, Blastoise, Kangaskhan, Moltres, Squirtle, Sandslash, Vulpix,0.002429008,2,691.9933101,88.49490768,,,,,,
Kadabra, Parasect, Zubat, Blastoise, Rapidash, Tangela, Staryu, Staryu, Charizard, Slowpoke, Starmie, Parasect,4.12447691,1,742.92911,68.70788046,,,,,,
Machoke, Seel, Zapdos, Marowak, Sandslash, Tentacruel, Lapras, Lapras, Lapras, Krabby, Squirtle, Arbok,11.88753891,1,946.3415131,108.6004388,,,,,,
Tangela, Growlithe, Shellder, Charmander, Marowak, Marowak, Fearow, Goldeen, Golbat, Cubone, Charmander, Machoke,3.694160938,1,791.8321101,91.37245352,,,,,,
Vileplume, Hitmonlee, Bulbasaur, Krabby, Staryu, Dodrio, Seaking, Tangela, Pidgeotto, Pidgeotto, Kadabra, Arcanine,0.002867937,1,798.4270109,66.81178788,,,,,,
Tentacool, Victreebel, Rapidash, Pidgey, Cubone, Zubat, Ninetales, Victreebel, Rapidash, Venonat, Wigglytuff, Poliwag,0.002673864,2,595.7665106,72.73516905,,,,,,
Nidorina, Rapidash, Tentacool, Golbat, Voltorb, Seel, Rattata, Kabutops, Lapras, Jolteon, Eevee, Dewgong,0.002491951,3,480.2571076,74.49540653,,,,,,
Dugtrio, Golbat, Slowpoke, Squirtle, Golduck, Ponyta, Staryu, Snorlax, Dragonair, Omanyte, Ekans, Jigglypuff,3.223634005,2,662.4155089,81.51236431,,,,,,
Meowth, Eevee, Slowbro, Graveler, Ninetales, Articuno, Lapras, Exeggutor, Beedrill, Pinsir, Nidorino, Nidorina,4.674646139,1,934.6011124,96.87633791,,,,,,
Golduck, Wartortle, Electrode, Butterfree, Diglett, Dratini, Tauros, Tangela, Blastoise, Jigglypuff, Dugtrio, Bellsprout,2.738579988,2,746.8007097,79.55328838,,,,,,
Nidoqueen, Tangela, Sandshrew, Starmie, Jolteon, Nidoqueen, Lapras, Lapras, Lapras, Staryu, Staryu, Rhydon,5.885697603,1,990.2274136,90.72149995,,,,,,
Krabby, Goldeen, Gloom, Raticate, Ponyta, Growlithe, Arcanine, Tentacruel, Arcanine, Pikachu, Charizard, Abra,0.002028942,4,393.9047065,56.43259303,,,,,,
Vileplume, Kangaskhan, Kadabra, Victreebel, Squirtle, Exeggutor, Staryu, Dragonite, Parasect, Exeggcute, Cloyster, Starmie,2.456835032,1,743.67091,77.95405156,,,,,,
Koffing, Rhyhorn, Hitmonchan, Primeape, Hitmonlee, Diglett, Spearow, Poliwhirl, Charizard, Machop, Magmar, Meowth,0.002491951,2,649.6737088,62.3506457,,,,,,
Nidoking, Tauros, Staryu, Nidorina, Victreebel, Vileplume, Gyarados, Moltres, Electabuzz, Kadabra, Meowth, Clefairy,2.234177113,2,641.060309,66.24062503,,,,,,
Shellder, Arcanine, Starmie, Vileplume, Tangela, Victreebel, Dragonite, Nidoran, Magneton, Dewgong, Dratini, Golbat,2.421677113,1,835.5725108,87.38064419,,,,,,
Poliwag, Farfetch'd, Omanyte, Dodrio, Parasect, Articuno, Staryu, Dragonite, Farfetch'd, Venonat, Persian, Meowth,2.36096096,1,764.4940098,79.62352179,,,,,,
Dragonite, Oddish, Tangela, Omastar, Omanyte, Seel, Articuno, Graveler, Bulbasaur, Vaporeon, Omanyte, Ekans,1.867037058,2,740.0432094,89.37977824,,,,,,
Exeggutor, Golem, Haunter, Snorlax, Drowzee, Haunter, Lapras, Snorlax, Articuno, Sandshrew, Shellder, Kadabra,4.932183981,1,973.1489126,106.1958495,,,,,,
Bulbasaur, Hitmonlee, Kangaskhan, Wartortle, Kingler, Meowth, Lickitung, Omastar, Arbok, Seadra, Wartortle, Kingler,0.002608061,1,813.8307107,92.37521075,,,,,,
