Dewgong, Sandshrew, Slowbro, Chansey, Omanyte, Eevee, Snorlax, Charmeleon, Jolteon, Bellsprout, Voltorb, Jigglypuff, 13.9801888466, 2, 710.33280976, 99.2283639873, Blastoise, Gyarados, Dragonite, Gyarados, Dragonite, Dragonite, 13.5897772312, 4, 421.01740658, 92.7672616367, Arcanine, Exeggutor, Gyarados, Dragonite, Victreebel, Gengar, 18.7578604221, 4, 436.56520684, 82.7435579905
Hypno, Machop, Ninetales, Articuno, Pinsir, Seadra, Slowbro, Horsea, Onix, Dewgong, Koffing, Arcanine, 12.7874147892, 1, 818.18591053, 114.70414141, Dragonite, Gyarados, Dragonite, Charizard, Moltres, Dragonite, 12.2653141022, 4, 497.61370679, 70.5033135268, Gyarados, Gyarados, Arcanine, Flareon, Meowth, Weepinbell, 17.5181775093, 3, 584.23860862, 73.3602056441
Gastly, Paras, Paras, Chansey, Dugtrio, Parasect, Weezing, Lickitung, Hitmonlee, Chansey, Gengar, Venonat, 12.9496614933, 3, 674.97621054, 104.415704433, Golem, Oddish, Nidoqueen, Starmie, Machamp, Magmar, 12.5895040035, 4, 328.4710057, 58.2856777053, Dragonite, Dragonite, Moltres, Slowbro, Hitmonchan, Grimer, 17.9632534981, 5, 209.05440448, 48.2434581219
Pikachu, Ivysaur, Arbok, Vileplume, Ponyta, Nidorina, Charizard, Rhydon, Exeggcute, Raichu, Slowpoke, Meowth, 13.718824625, 3, 586.54670789, 59.0057424712, Dragonite, Snorlax, Moltres, Snorlax, Slowbro, Snorlax, 13.294885397, 5, 400.68070569, 58.9187662796, Dragonite, Tauros, Rhydon, Tentacruel, Hitmonchan, Pidgeot, 18.7510612011, 4, 353.92040668, 54.7161493187
Slowbro, Geodude, Raichu, Omastar, Butterfree, Wartortle, Electrode, Clefairy, Beedrill, Ivysaur, Golbat, Lapras, 14.0171079636, 1, 877.82791193, 94.2581229627, Dragonite, Exeggutor, Exeggutor, Dragonite, Dragonite, Dragonite, 13.5901503563, 3, 571.1730091, 61.602004721, Pinsir, Rhydon, Lapras, Victreebel, Jolteon, Jolteon, 18.9450292587, 3, 595.44690923, 71.6292252505
Golem, Dodrio, Dewgong, Ninetales, Venomoth, Venusaur, Poliwrath, Gengar, Wartortle, Slowbro, Bellsprout, Aerodactyl, 13.6780538559, 1, 826.26441148, 93.6041641155, Vaporeon, Poliwrath, Poliwrath, Charizard, Dragonite, Dragonite, 13.289898634, 3, 648.51110937, 83.0638632941, Dragonite, Vaporeon, Rhydon, Gyarados, Moltres, Meowth, 18.8636674881, 3, 764.34850995, 93.1734347991
Starmie, Nidoqueen, Victreebel, Machop, Drowzee, Tentacool, Gyarados, Staryu, Haunter, Sandslash, Raichu, Bellsprout, 14.2746062279, 2, 576.28710857, 67.8622866926, Snorlax, Gyarados, Dragonite, Dragonite, Gyarados, Dragonite, 13.8602776527, 4, 509.240008, 68.3441049331, Blastoise, Nidoking, Dragonite, Scyther, Dragonite, Bellsprout, 19.1145255566, 4, 459.25990633, 67.5318497324
Scyther, Snorlax, Venonat, Slowbro, Shellder, Scyther, Golem, Golem, Dragonair, Haunter, Jolteon, Poliwhirl, 13.1904435158, 2, 642.85060902, 72.5627775823, Jolteon, Gyarados, Muk, Gyarados, Jolteon, Jolteon, 12.7436957359, 3, 611.78640888, 74.857250044, Moltres, Jolteon, Slowbro, Gyarados, Jolteon, Seaking, 18.0088663101, 3, 570.23860862, 76.5720407835
Goldeen, Vaporeon, Nidorina, Lickitung, Gloom, Poliwhirl, Dragonite, Farfetch'd, Jolteon, Nidoking, Exeggutor, Beedrill, 12.8708899021, 4, 401.98740558, 64.9123183619, Zapdos, Snorlax, Dragonite, Dragonite, Dragonite, Vileplume, 12.3688306808, 4, 473.12730791, 73.0632752409, Vileplume, Exeggutor, Alakazam, Dragonite, Vileplume, Beedrill, 17.7547550201, 4, 404.69640588, 58.3341670297
Mankey, Seadra, Golem, Diglett, Dodrio, Rattata, Alakazam, Farfetch'd, Machoke, Zapdos, Goldeen, Golbat, 13.2652087212, 3, 484.98320744, 47.685902145, Venusaur, Exeggutor, Gyarados, Slowbro, Vaporeon, Lapras, 12.8514664173, 4, 359.13010667, 41.3264096138, Venusaur, Venusaur, Gyarados, Goldeen, Kingler, Golduck, 18.3011791706, 4, 341.58230641, 44.0784939195
