Pidgey, Lickitung, Psyduck, Jigglypuff, Aerodactyl, Beedrill, Tauros, Kabutops, Squirtle, Gengar, Kingler, Mr. Mime, 2.65661215782, 3, 450.82340678, 69.1395849104, Ninetales, Porygon, Omastar, Voltorb, Chansey, Lapras, 2.56242132187, 2, 565.61821194, 77.270254891, Dragonite, Dragonite, Abra, Moltres, Poliwag, Seel, 2.8640100956, 5, 252.05440448, 41.5979709136
Koffing, Ninetales, Omastar, Clefable, Golem, Omanyte, Dragonite, Cloyster, Gengar, Porygon, Magmar, Ekans, 2.81977701187, 2, 701.85060902, 85.3274204365, Dragonite, Omanyte, Nidoking, Weepinbell, Lickitung, Scyther, 2.7098338604, 2, 732.52680956, 83.4450660404, Gyarados, Gyarados, Seaking, Fearow, Snorlax, Dragonite, 2.93367528915, 4, 491.13010667, 66.3530207894
Primeape, Dragonair, Jolteon, Horsea, Hitmonlee, Staryu, Machoke, Dugtrio, Jolteon, Gengar, Vaporeon, Ninetales, 2.66309261322, 2, 699.38130971, 71.4506912478, Abra, Snorlax, Nidoking, Dragonair, Jolteon, Tentacruel, 2.57384204865, 2, 681.62241008, 65.4729974199, Dragonite, Dragonite, Dragonair, Machamp, Weezing, Electrode, 2.81276226044, 5, 351.05440448, 43.7520785121
Blastoise, Diglett, Venomoth, Exeggutor, Voltorb, Kabutops, Dragonite, Marowak, Nidorina, Magneton, Omastar, Gloom, 2.88003087044, 2, 695.0760092, 77.1664592203, Butterfree, Kangaskhan, Moltres, Blastoise, Jolteon, Exeggcute, 2.80741453171, 3, 647.22290843, 82.9068811195, Dragonite, Dragonite, Scyther, Dragonite, Nidoqueen, Charmeleon, 3.13617515564, 4, 356.84050635, 53.4451185523
Rhydon, Farfetch'd, Muk, Persian, Hypno, Golduck, Dragonite, Dodrio, Ivysaur, Koffing, Vileplume, Nidoran, 2.64564919472, 0, 821.9120104, 80.8272940926, Articuno, Exeggutor, Magneton, Dewgong, Vaporeon, Flareon, 2.55322027206, 2, 882.34571119, 106.618462193, Gyarados, Dragonite, Dragonite, Golduck, Omastar, Mr. Mime, 2.82360816002, 4, 478.61370679, 64.8648501406
Dewgong, Jolteon, Clefable, Gyarados, Machop, Omanyte, Rhydon, Spearow, Paras, Sandshrew, Pidgeot, Arcanine, 2.63197207451, 0, 863.79791093, 75.6172736502, Arcanine, Rhydon, Tangela, Alakazam, Zapdos, Venusaur, 2.56497502327, 3, 614.35270809, 73.0885890554, Vaporeon, Golem, Hypno, Blastoise, Lickitung, Jolteon, 2.75321912766, 2, 872.99051135, 111.068720587
Bellsprout, Weepinbell, Electabuzz, Raticate, Wigglytuff, Raichu, Ninetales, Magnemite, Goldeen, Seaking, Jynx, Hitmonlee, 2.85461068153, 1, 666.91340978, 70.7170212397, Clefable, Vaporeon, Nidoqueen, Butterfree, Chansey, Tentacruel, 2.77826976776, 3, 604.12450915, 69.0436375124, Dragonite, Dragonite, Paras, Exeggutor, Ivysaur, Scyther, 3.01546859741, 5, 313.05440448, 44.9178362676
Dratini, Fearow, Hitmonchan, Alakazam, Magneton, Ivysaur, Alakazam, Abra, Primeape, Lickitung, Exeggcute, Victreebel, 2.89520382881, 1, 798.07321044, 71.9838342748, Rapidash, Rhydon, Jynx, Dragonite, Ninetales, Fearow, 2.80990242958, 3, 620.36840828, 64.2966972752, Alakazam, Dragonite, Persian, Nidorino, Moltres, Blastoise, 3.05967092514, 2, 581.52680956, 63.3518713031
Meowth, Dodrio, Tauros, Flareon, Ninetales, Gloom, Lapras, Vulpix, Machamp, Ekans, Rhyhorn, Charmeleon, 2.70711135864, 1, 857.52261142, 82.8691497548, Gyarados, Omastar, Omastar, Kingler, Poliwrath, Lapras, 2.6167538166, 3, 537.36980766, 70.7140144838, Jolteon, Zapdos, Rhydon, Lickitung, Machamp, Omastar, 3.0342912674, 3, 564.5610087, 62.6158350523
Pidgeotto, Lapras, Magneton, Machop, Meowth, Rhyhorn, Horsea, Nidorina, Zapdos, Aerodactyl, Wigglytuff, Venomoth, 2.85018992424, 1, 876.48841228, 89.9418074585, Electrode, Snorlax, Omastar, Jigglypuff, Kabutops, Dragonair, 2.76351070404, 4, 516.79060702, 68.607851008, Slowbro, Muk, Bulbasaur, Bulbasaur, Abra, Jynx, 2.97828745842, 2, 686.93190873, 91.4602828154
Nidoran, Squirtle, Hitmonlee, Persian, Rhyhorn, Spearow, Butterfree, Arcanine, Arbok, Zubat, Magneton, Lapras, 2.49155521393, 2, 569.96470849, 65.6021151249, Doduo, Porygon, Omastar, Snorlax, Diglett, Doduo, 2.40316057205, 3, 645.69080836, 71.6001742852, Dragonite, Dragonite, Gyarados, Squirtle, Dewgong, Ponyta, 2.64752554893, 5, 212.05440448, 39.2007222646
Seadra, Grimer, Kadabra, Articuno, Slowbro, Pidgeot, Exeggutor, Raichu, Raichu, Growlithe, Porygon, Alakazam, 2.67523789406, 1, 763.41131071, 71.8810416417, Jolteon, Moltres, Kadabra, Kingler, Magnemite, Raichu, 2.58756184578, 2, 577.40120804, 68.1969066738, Dragonite, Snorlax, Wartortle, Pidgeot, Starmie, Psyduck, 2.85821604729, 2, 790.76511117, 90.8493116481
